"(0.052999999999999999, 0.31119999999999998, 0.1588, -0.3039, 0.48230000000000001)",[ 2.9085  2.0873  0.25  ]
"(0.02, -0.22239999999999999, -0.4728, 0.35649999999999998, 0.017899999999999999)",[ 3.4702 -0.948   0.25  ]
"(0.23080000000000001, 0.17760000000000001, 0.14810000000000001, 0.47760000000000002, -0.22270000000000001)",[ 3.425   0.5957  0.25  ]
"(0.019900000000000001, -0.094100000000000003, 0.12540000000000001, 0.20469999999999999, 0.25619999999999998)",[ 3.4961  1.0615  0.25  ]
"(0.031199999999999999, -0.011900000000000001, 0.35859999999999997, 0.27729999999999999, -0.29220000000000002)",[ 3.5751 -0.0179  0.25  ]
"(-0.2802, 0.17929999999999999, 0.1694, -0.1903, 0.219)",[ 3.4761  1.094   0.25  ]
"(-0.30209999999999998, -0.2266, -0.38600000000000001, -0.24429999999999999, -0.36709999999999998)",[ 2.3392 -2.3613  0.25  ]
"(-0.00029999999999999997, -0.34300000000000003, 0.36709999999999998, -0.33189999999999997, 0.24729999999999999)",[ 3.6478  0.2567  0.25  ]
"(0.39579999999999999, 0.1749, -0.1736, -0.33510000000000001, -0.12479999999999999)",[ 3.6225 -0.4318  0.25  ]
"(0.026800000000000001, 0.30180000000000001, 0.062399999999999997, 0.093399999999999997, -0.1081)",[ 3.5591  0.7417  0.25  ]
"(0.28220000000000001, 0.16850000000000001, 0.34899999999999998, 0.48830000000000001, -0.16200000000000001)",[ 3.1562  1.0734  0.25  ]
"(0.39550000000000002, 0.4929, -0.34599999999999997, 0.4582, -0.097799999999999998)",[ 3.3842  0.9324  0.25  ]
"(0.33410000000000001, -0.33040000000000003, -0.071300000000000002, -0.092999999999999999, 0.3901)",[ 3.6308  0.2928  0.25  ]
"(0.1343, 0.28120000000000001, -0.16009999999999999, 0.079699999999999993, -0.4083)",[ 3.5843 -0.7864  0.25  ]
"(-0.081900000000000001, -0.094799999999999995, 0.065600000000000006, 0.39510000000000001, -0.0751)",[ 3.6492  0.0327  0.25  ]
"(0.1686, 0.4405, 0.35339999999999999, 0.34649999999999997, -0.19089999999999999)",[ 2.9317  1.5097  0.25  ]
"(-0.36459999999999998, 0.046699999999999998, -0.29120000000000001, -0.37780000000000002, -0.17399999999999999)",[ 3.19   -1.3457  0.25  ]
"(-0.24079999999999999, -0.47470000000000001, -0.30480000000000002, 0.30509999999999998, -0.0144)",[ 3.2188 -1.4792  0.25  ]
"(0.28939999999999999, -0.46429999999999999, 0.096600000000000005, -0.065799999999999997, -0.1847)",[ 3.2572 -1.5391  0.25  ]
"(-0.29659999999999997, 0.14499999999999999, 0.37369999999999998, 0.0048999999999999998, 0.1946)",[ 3.2897  1.4544  0.25  ]
"(0.16830000000000001, 0.45340000000000003, 0.36149999999999999, 0.34910000000000002, 0.17430000000000001)",[ 2.2868  2.2749  0.25  ]
"(0.2291, 0.1799, -0.1502, -0.18970000000000001, -0.1605)",[ 3.6394 -0.5018  0.25  ]
"(-0.22140000000000001, -0.42980000000000002, 0.15290000000000001, -0.023900000000000001, 0.1489)",[ 3.634  -0.3846  0.25  ]
"(0.39419999999999999, -0.44319999999999998, -0.40179999999999999, 0.31080000000000002, 0.44569999999999999)",[ 3.5505  0.1793  0.25  ]
"(-0.035400000000000001, 0.23849999999999999, -0.23100000000000001, 0.010699999999999999, -0.32169999999999999)",[ 3.585  -0.8158  0.25  ]
"(-0.0014, -0.4647, -0.032899999999999999, 0.042299999999999997, 0.034099999999999998)",[ 3.4481 -1.0974  0.25  ]
"(-0.22550000000000001, 0.17369999999999999, -0.085599999999999996, -0.21609999999999999, -0.43609999999999999)",[ 3.337  -1.4111  0.25  ]
"(0.1361, -0.2046, 0.016199999999999999, 0.43709999999999999, 0.16450000000000001)",[ 3.5567  0.633   0.25  ]
"(0.49580000000000002, -0.22509999999999999, -0.43419999999999997, 0.35499999999999998, 0.085099999999999995)",[ 3.5467 -0.4112  0.25  ]
"(-0.18659999999999999, -0.070300000000000001, 0.48020000000000002, 0.31169999999999998, 0.41949999999999998)",[ 2.7201  2.119   0.25  ]
"(0.22020000000000001, 0.072300000000000003, -0.077399999999999997, 0.30320000000000003, 0.29199999999999998)",[ 3.3301  1.3946  0.25  ]
"(0.35830000000000001, 0.016199999999999999, -0.30349999999999999, 0.047600000000000003, 0.4461)",[ 3.4432  1.1748  0.25  ]
"(-0.47739999999999999, -0.064600000000000005, -0.12559999999999999, -0.19350000000000001, 0.35599999999999998)",[ 3.5632  0.3413  0.25  ]
"(-0.44059999999999999, -0.33439999999999998, 0.12509999999999999, 0.0035999999999999999, 0.20569999999999999)",[ 3.6313 -0.2045  0.25  ]
"(-0.35110000000000002, -0.2631, -0.083199999999999996, -0.33239999999999997, 0.26750000000000002)",[ 3.5047 -0.4204  0.25  ]
"(-0.1948, -0.43669999999999998, 0.21390000000000001, 0.37190000000000001, -0.39689999999999998)",[ 3.2017 -1.6211  0.25  ]
"(0.4456, -0.077600000000000002, 0.1411, 0.21829999999999999, 0.2737)",[ 3.3438  1.2477  0.25  ]
"(-0.35110000000000002, -0.24160000000000001, -0.25850000000000001, 0.16830000000000001, 0.2089)",[ 3.6046 -0.3689  0.25  ]
"(-0.1804, -0.44140000000000001, 0.3483, -0.40239999999999998, -0.3412)",[ 2.9219 -1.9769  0.25  ]
"(-0.2082, -0.38040000000000002, 0.20849999999999999, 0.086199999999999999, -0.3997)",[ 3.105  -1.8426  0.25  ]
"(-0.44950000000000001, 0.16789999999999999, -0.064699999999999994, 0.012500000000000001, 0.27939999999999998)",[ 3.5263  0.9309  0.25  ]
"(-0.49009999999999998, -0.18729999999999999, 0.082000000000000003, 0.46100000000000002, -0.026700000000000002)",[ 3.639  -0.1219  0.25  ]
"(-0.35830000000000001, 0.075200000000000003, -0.47489999999999999, -0.29360000000000003, -0.4743)",[ 2.5158 -2.223   0.25  ]
"(0.088900000000000007, 0.046300000000000001, -0.013299999999999999, 0.33600000000000002, 0.076100000000000001)",[ 3.5636  0.7407  0.25  ]
"(0.1174, -0.48120000000000002, 0.38700000000000001, -0.2213, -0.071599999999999997)",[ 3.4862 -1.0195  0.25  ]
"(0.16789999999999999, 0.44729999999999998, 0.0, 0.34710000000000002, -0.1822)",[ 3.3647  1.0032  0.25  ]
"(0.078399999999999997, -0.054300000000000001, 0.17530000000000001, 0.36620000000000003, 0.086099999999999996)",[ 3.4816  0.8692  0.25  ]
"(0.41220000000000001, 0.2903, -0.47970000000000002, -0.1298, 0.30070000000000002)",[ 3.4979  0.8868  0.25  ]
"(-0.38600000000000001, -0.22700000000000001, -0.4259, -0.1169, 0.0533)",[ 3.1443 -1.3612  0.25  ]
"(-0.42030000000000001, -0.42370000000000002, 0.21579999999999999, 0.2049, 0.2767)",[ 3.6382  0.2555  0.25  ]
"(0.0253, -0.017100000000000001, -0.44879999999999998, -0.2417, 0.3533)",[ 3.5277 -0.1174  0.25  ]
"(-0.38850000000000001, 0.44400000000000001, -0.44590000000000002, 0.043099999999999999, -0.44640000000000002)",[ 3.3016 -1.3597  0.25  ]
"(-0.079500000000000001, -0.35360000000000003, -0.45240000000000002, -0.2742, -0.45440000000000003)",[ 1.6999 -2.6921  0.25  ]
"(0.25990000000000002, 0.12720000000000001, 0.12570000000000001, 0.0969, -0.41170000000000001)",[ 3.5879 -0.5837  0.25  ]
"(-0.18049999999999999, -0.3785, 0.091700000000000004, 0.18229999999999999, 0.1613)",[ 3.6668 -0.1507  0.25  ]
"(-0.20979999999999999, 0.1153, 0.17469999999999999, -0.0073000000000000001, 0.1754)",[ 3.5418  0.9579  0.25  ]
"(-0.18190000000000001, -0.37090000000000001, -0.27050000000000002, -0.3609, 0.17829999999999999)",[ 3.0935 -1.339   0.25  ]
"(0.02, -0.2873, -0.26700000000000002, 0.26369999999999999, 0.4224)",[ 3.616   0.4537  0.25  ]
"(-0.3755, -0.28610000000000002, 0.14280000000000001, 0.080399999999999999, -0.22570000000000001)",[ 3.3872 -1.3216  0.25  ]
"(-0.46529999999999999, -0.091200000000000003, 0.29980000000000001, -0.068099999999999994, 0.46800000000000003)",[ 3.2566  1.5646  0.25  ]
"(-0.4592, 0.29770000000000002, -0.41249999999999998, 0.12690000000000001, 0.16789999999999999)",[ 3.5892  0.4686  0.25  ]
"(-0.25090000000000001, -0.1676, 0.37140000000000001, 0.0407, -0.34699999999999998)",[ 3.53   -0.9268  0.25  ]
"(0.15140000000000001, -0.191, 0.13980000000000001, 0.4103, -0.32129999999999997)",[ 3.5233 -0.6696  0.25  ]
"(0.1167, -0.48330000000000001, 0.056599999999999998, -0.22320000000000001, -0.29349999999999998)",[ 2.8236 -2.1147  0.25  ]
"(0.029399999999999999, 0.26119999999999999, 0.28149999999999997, 0.0223, 0.111)",[ 3.2323  1.5227  0.25  ]
"(-0.2485, -0.36270000000000002, 0.21709999999999999, 0.30669999999999997, 0.2475)",[ 3.6095  0.5243  0.25  ]
"(0.1852, 0.25069999999999998, 0.16969999999999999, -0.4425, -0.47849999999999998)",[ 3.479  -1.0508  0.25  ]
"(-0.248, 0.024, -0.31559999999999999, 0.46389999999999998, 0.503)",[ 3.3528  1.3931  0.25  ]
"(-0.063700000000000007, -0.27900000000000003, 0.1719, -0.035799999999999998, -0.37030000000000002)",[ 3.3031 -1.5484  0.25  ]
"(0.079299999999999995, 0.38040000000000002, -0.21829999999999999, 0.024199999999999999, -0.31040000000000001)",[ 3.6567 -0.3266  0.25  ]
"(0.15870000000000001, -0.47220000000000001, 0.40789999999999998, -0.48170000000000002, 0.32740000000000002)",[ 3.6123  0.1087  0.25  ]
"(0.078899999999999998, 0.26090000000000002, 0.26129999999999998, -0.1177, -0.13930000000000001)",[ 3.5833  0.6078  0.25  ]
"(-0.0079000000000000008, -0.32169999999999999, -0.32200000000000001, -0.042799999999999998, -0.23150000000000001)",[ 2.8497 -2.0281  0.25  ]
"(-0.2404, -0.47689999999999999, -0.3044, 0.30790000000000001, -0.2782)",[ 2.7646 -2.1343  0.25  ]
"(-0.2402, -0.017000000000000001, 0.29559999999999997, -0.21190000000000001, -0.1085)",[ 3.6676 -0.127   0.25  ]
"(-0.3256, -0.030599999999999999, 0.17949999999999999, -0.29039999999999999, 0.1593)",[ 3.633   0.2945  0.25  ]
"(0.089099999999999999, 0.13170000000000001, -0.48809999999999998, -0.27750000000000002, 0.24149999999999999)",[ 3.5492 -0.0732  0.25  ]
"(-0.094700000000000006, 0.1847, 0.25440000000000002, -0.47499999999999998, 0.0247)",[ 3.612   0.3952  0.25  ]
"(-0.39700000000000002, -0.43049999999999999, 0.14990000000000001, -0.4289, 0.47949999999999998)",[ 3.5081  0.1339  0.25  ]
"(0.037499999999999999, -0.15770000000000001, -0.43880000000000002, -0.45910000000000001, -0.497)",[ 1.956  -2.5809  0.25  ]
"(-0.4798, -0.18779999999999999, -0.43759999999999999, 0.1419, 0.34160000000000001)",[ 3.5041 -0.339   0.25  ]
"(0.36809999999999998, 0.34150000000000003, 0.191, -0.23760000000000001, 0.42180000000000001)",[ 2.6889  2.2674  0.25  ]
"(-0.14319999999999999, -0.44269999999999998, -0.3135, -0.29360000000000003, -0.081600000000000006)",[ 2.6543 -2.0207  0.25  ]
"(-0.45579999999999998, 0.159, 0.36830000000000002, -0.1331, 0.19)",[ 3.3761  1.247   0.25  ]
"(0.37769999999999998, 0.45939999999999998, -0.00020000000000000001, 0.46100000000000002, 0.17929999999999999)",[ 2.5848  2.0828  0.25  ]
"(-0.46760000000000002, 0.13, -0.219, 0.41149999999999998, -0.22090000000000001)",[ 3.6114 -0.5634  0.25  ]
